domain,open_page_rank,referring_domains,status,concentration_risk,concentrated_risk,ahrefs_domain_rating,wayback_snapshots,stale_snapshot,Has Full Words,Words Found,Comment,tier,composite_score,wayback_first_seen,wayback_last_seen
auraclinic.ie,,,not_found,,,39,,,Yes,clinic,,,,,
lmwebdesign.ie,0.31,0,has_data,True,True,37,140,,Yes,design,,,,2024-05-11,2026-05-19
gardencountysport.ie,1.45,7,has_data,False,False,35,3823,,,,,,,2024-07-15,2026-05-25
evolvai.ie,,,not_found,,,33,,,,,,,,,
portal.ie,0.59,1,has_data,True,True,32,2860,3266,,,,,,2003-09-21,2017-09-24
exclusion.ie,0.71,2,has_data,True,True,31,1745,,No,,,,,2021-03-04,2026-04-13
aedcabinets.ie,0.4,1,has_data,True,True,31,741,,,,,,,2012-12-04,2026-01-20
t4.ie,1.05,4,has_data,False,False,30,5000,,,,,,,2007-02-09,2026-06-12
firstpagemarketing.ie,1.82,11,has_data,False,False,28,1431,,,,,,,2023-09-16,2025-09-16
c4i.ie,0.89,3,has_data,True,True,27,1399,1685,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",32.95,2004-10-21,2022-01-22
alldublinfarmpainters.ie,0.4,1,has_data,True,True,27,426,,Yes,"dublin, paint",,,,2021-08-09,2026-05-14
gorillalocal.ie,0.24,0,has_data,True,True,27,88,,,,,,,2024-06-19,2025-11-11
petesprovisions.ie,1.24,6,has_data,False,False,26,1510,,,,,,,2021-12-20,2026-05-05
mobilewebdesign.ie,0.3,0,has_data,True,True,26,345,,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",27.5,2009-11-13,2026-05-18
youandonline.ie,,,not_found,,,26,,,Yes,online,,,,,
matherapy.ie,1.06,4,has_data,False,False,25,14,,Yes,therapy,,,,2021-12-17,2026-06-09
themediachimp.ie,0.32,0,has_data,True,True,25,17,,Yes,media,,,,2023-04-01,2026-04-19
treo.ie,0.23,0,has_data,True,True,25,2392,,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",26.15,2002-10-08,2026-04-18
rosweb.ie,0.29,0,has_data,True,True,24,47,495,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",23.45,2024-07-16,2025-04-26
zdesign.ie,0.24,0,has_data,True,True,24,3277,,,,,,,2008-06-29,2025-10-24
writeinsite.ie,0.43,1,has_data,True,True,23,5000,,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",25.65,2017-01-05,2026-05-17
billydesmond.ie,0.42,1,has_data,True,True,23,256,,,,,,,2021-04-01,2025-10-10
effectorclients.ie,0.71,2,has_data,True,True,22,349,,No,,,,,2019-02-03,2026-05-10
hhokit.ie,0.56,2,has_data,True,True,22,5000,418,No,,,,,2015-02-15,2025-07-12
thinksocial.ie,0.45,1,has_data,True,True,22,5000,1516,,,,,,2013-04-07,2022-07-10
artlinkonline.ie,0.76,2,has_data,True,True,21,1423,,Yes,online,,,,2020-05-26,2026-04-18
fineartframed.ie,0.47,1,has_data,True,True,21,5000,726,,,,,,2009-12-03,2024-09-07
latienda.ie,0.76,1,has_data,True,True,19,321,,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",23.3,2023-09-22,2026-06-10
online365.ie,0.29,0,has_data,True,True,19,2481,396,Yes,online,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",20.45,2006-06-18,2025-08-03
netbuilder365.ie,0.24,0,has_data,True,True,19,459,,Yes,build,,,,2020-06-08,2026-03-13
allwisepavinglandscaping.ie,0.23,0,has_data,,,19,,,Yes,"landscaping, paving",,,,,
mediarise.ie,,,not_found,,,19,,,Yes,media,,,,,
tobi.ie,0.66,2,has_data,True,True,18,40,,,,,,,2021-12-27,2026-08-12
cafollasmga.ie,0.24,0,has_data,True,True,18,418,713,,,,,,2017-11-04,2024-09-20
autoindex24.ie,,,not_found,,,18,0,,Yes,auto,,,,,
creativepals.ie,,,not_found,,,18,0,,Yes,creative,,,,,
quicktours.ie,,,not_found,,,18,,,Yes,tour,,,,,
draftstudio.ie,0.25,0,has_data,True,True,17,2195,446,,,,,,2017-06-16,2025-06-14
pjglassservices.ie,,,not_found,,,17,,,,,,,,,
bikeworkshops.ie,1.4,7,has_data,False,False,16,3234,595,Yes,Bike workshop,,,,2017-11-04,2025-01-16
easyradio.ie,0.4,1,has_data,True,True,16,2935,,,,,,,2015-09-27,2026-04-19
cillian.ie,0.31,0,has_data,True,True,16,399,,,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",17.55,2006-10-23,2025-10-15
creativa.ie,0.23,0,has_data,True,True,16,1138,3844,No,,,"RISK — DR score likely inflated by 1-3 sources, verify before trusting DR",17.15,2006-06-16,2016-02-24
acarahouse.ie,1.33,6,has_data,False,False,14,1260,,,,,,,2008-12-17,2026-04-16
chooseradio.ie,0.89,3,has_data,False,False,14,3218,749,,,,SKIP — below minimum thresholds,19.95,2009-09-12,2024-08-15
airpal.ie,0.77,3,has_data,False,False,14,523,,No,,,SKIP — below minimum thresholds,19.35,2024-05-22,2025-12-14
itrustethics.ie,0.61,2,has_data,False,False,14,349,775,,,,,,2017-05-01,2024-07-20
drivingtestcancellations.ie,0.55,2,has_data,False,False,14,36,,,,,,,2025-08-07,2026-06-12
kearneyproperty.ie,0.55,2,has_data,False,False,14,5000,,,,,SKIP — below minimum thresholds,17.75,2010-07-06,2025-10-28
tgifridays.ie,0.54,1,has_data,False,False,14,361,3852,,,,,,2003-04-08,2016-02-16
mayotrails.ie,0.44,1,has_data,False,False,14,636,,Yes,mayo,,,,2011-04-19,2026-02-10
sacredjewellery.ie,0.4,1,has_data,False,False,14,2386,,,,,SKIP — below minimum thresholds,16.5,2020-08-05,2025-09-03
